"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 19:44:47 GMT 2024","Sun Jan 28 19:44:47 GMT 2024","10","Surefire suite","Surefire test","ConcatTest","ConcatTest","test1","test1",""
"passed","Sun Jan 28 19:44:47 GMT 2024","Sun Jan 28 19:44:47 GMT 2024","0","Surefire suite","Surefire test","ConcatTest","ConcatTest","test3","test3",""
"passed","Sun Jan 28 19:44:47 GMT 2024","Sun Jan 28 19:44:47 GMT 2024","0","Surefire suite","Surefire test","ConcatTest","ConcatTest","test2","test2",""
