"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 23:57:00 GMT 2024","Tue Jan 30 23:57:00 GMT 2024","9","Surefire suite","Surefire test","ConcatTest","ConcatTest","test1","test1",""
"failed","Tue Jan 30 23:57:00 GMT 2024","Tue Jan 30 23:57:00 GMT 2024","9","Surefire suite","Surefire test","ConcatTest","ConcatTest","test4","test4",""
"passed","Tue Jan 30 23:57:00 GMT 2024","Tue Jan 30 23:57:00 GMT 2024","0","Surefire suite","Surefire test","ConcatTest","ConcatTest","test3","test3",""
"passed","Tue Jan 30 23:57:00 GMT 2024","Tue Jan 30 23:57:00 GMT 2024","0","Surefire suite","Surefire test","ConcatTest","ConcatTest","test2","test2",""
